,I^4,I,C,dI/dH,rmse,I^2,I^3,d^2I/dH^2
eqn_0.1_0_0.txt,-3.063152014610201,-4.033283459056625,-0.0009969626822314837,1.0,0.011653093179086695,0.0,0.0,0.0
eqn_0.1_1_0.txt,-3.063152014610201,-4.033283459056625,-0.0009969626822314837,1.0,0.012075308063114626,0.0,0.0,0.0
eqn_0.1_2_0.txt,-3.063152014610206,-4.033283459056624,-0.0009969626822314837,1.0,0.0319912541373514,0.0,0.0,0.0
eqn_0.1_3_0.txt,-3.063152014610206,-4.033283459056624,-0.0009969626822314837,1.0,0.012926648288339298,0.0,0.0,0.0
eqn_0.1_4_0.txt,-3.063152014610206,-4.033283459056624,-0.0009969626822314837,1.0,0.012299740747997773,0.0,0.0,0.0
eqn_0.1_5_0.txt,-3.063152014610206,-4.033283459056624,-0.0009969626822314837,1.0,0.012144344891427687,0.0,0.0,0.0
eqn_0.2_0_0.txt,18.996365671886775,0.0,-0.00033518256942333124,1.0,0.25447143455007176,22.184721702588654,40.50085270194831,0.0
eqn_0.2_1_0.txt,18.996365671885364,0.0,-0.00033518256941533764,1.0,0.18185421576299446,22.184721702587737,40.50085270194606,0.0
eqn_0.2_2_0.txt,-2.276465131732352,-2.861791962615089,-0.002574578323758736,1.0,0.01599778540096932,0.0,0.0,0.0
eqn_0.2_3_0.txt,-2.276465131732352,-2.861791962615089,-0.002574578323758736,1.0,0.016218027410559183,0.0,0.0,0.0
eqn_0.2_4_0.txt,-2.276465131732352,-2.861791962615089,-0.002574578323758736,1.0,0.016066011270417024,0.0,0.0,0.0
eqn_0.2_5_0.txt,-2.276465131732352,-2.861791962615089,-0.002574578323758736,1.0,0.016851318439331665,0.0,0.0,0.0
eqn_0.3_0_0.txt,0.0,0.0,0.0,1.0,0.9938393923790233,0.0,0.0,0.0
eqn_0.3_1_0.txt,0.0,-0.8356242310584543,-0.0007686272798451688,1.0,0.018835169984200192,0.9181068848810668,0.0,0.0
eqn_0.3_2_0.txt,0.0,-0.8356242310584543,-0.0007686272798451688,1.0,0.01921077910208697,0.9181068848810668,0.0,0.0
eqn_0.3_3_0.txt,0.0,-0.8356242310584515,-0.0007686272798450577,1.0,0.018969521509313473,0.918106884881075,0.0,0.0
eqn_0.3_4_0.txt,0.0,0.0,0.0002956847164042311,1.0,0.25537375683282976,2.1634419752267933,0.0,0.0
eqn_0.3_5_0.txt,0.0,-0.8356242310584515,-0.0007686272798450577,1.0,0.019144347182093964,0.918106884881075,0.0,0.0
eqn_0.4_0_0.txt,-0.7553813770423763,-1.2230187686016059,-0.0018575666294123883,1.0,0.003905054430807897,0.0,0.0,0.0
eqn_0.4_1_0.txt,-0.7553813770423763,-1.2230187686016059,-0.0018575666294123883,1.0,0.003178191691078142,0.0,0.0,0.0
eqn_0.4_2_0.txt,-0.7553813770423761,-1.223018768601605,-0.0018575666294124993,1.0,0.003135110999787906,0.0,0.0,0.0
eqn_0.4_3_0.txt,-0.7553813770423761,-1.223018768601605,-0.0018575666294124993,1.0,0.003379426607225317,0.0,0.0,0.0
eqn_0.4_4_0.txt,0.0,-0.817121892158828,-0.0009812686364820229,1.0,0.015921483551212635,0.0,0.0,0.0
eqn_0.4_5_0.txt,-0.7553813770423763,-1.2230187686016059,-0.0018575666294123883,1.0,0.0038723329445568026,0.0,0.0,0.0
eqn_0.5_0_0.txt,0.0,-0.0978340553519006,-7.44716143938895e-05,1.0,0.018355580403698717,1.9715128764264833,1.766583561696028,0.0
eqn_0.5_1_0.txt,0.0,-0.489021673123529,-0.0015520197228857697,1.0,0.013335091953660465,0.0,0.0,0.0
eqn_0.5_2_0.txt,0.0,-0.1220065086366976,-0.0001606706951389758,1.0,0.015434195977294911,1.7475984379556686,1.5418732906713508,-0.057974348097752815
eqn_0.5_3_0.txt,0.0,-0.489021673123529,-0.0015520197228857697,1.0,0.013301972664732665,0.0,0.0,0.0
eqn_0.5_4_0.txt,0.0,-0.489021673123529,-0.0015520197228857697,1.0,0.013301938652097249,0.0,0.0,0.0
eqn_0.5_5_0.txt,0.0,-0.489021673123529,-0.0015520197228857697,1.0,0.013300610621972773,0.0,0.0,0.0
