,I,I^2,I^4,C,dI/dy,I^3
eqn_0.1_0_0.txt,-1.403457281518876,7.033544923408543,-8.95269759151767,-0.00020525753386291257,1.0,0.0
eqn_0.1_0_1.txt,-2.5998228155276646,0.0,0.0,-0.0004090021358093691,1.0,0.0
eqn_0.1_0_2.txt,0.0,3.4867188739158803,0.0,0.00016056659932285285,1.0,0.0
eqn_0.1_1_0.txt,-2.5998228155276646,0.0,0.0,-0.0004090021358093691,1.0,0.0
eqn_0.1_1_1.txt,-2.5998228155276646,0.0,0.0,-0.0004090021358093691,1.0,0.0
eqn_0.1_1_2.txt,-1.4034572815189377,7.03354492340838,-8.95269759151764,-0.0002052575338421514,1.0,0.0
eqn_0.1_2_0.txt,-2.5998228155276646,0.0,0.0,-0.0004090021358093691,1.0,0.0
eqn_0.1_2_1.txt,-2.5998228155276646,0.0,0.0,-0.0004090021358093691,1.0,0.0
eqn_0.1_2_2.txt,-2.5998228155276646,0.0,0.0,-0.0004090021358093691,1.0,0.0
eqn_0.1_3_0.txt,-1.403457281518934,7.0335449234082486,-8.952697591517454,-0.0002052575338620244,1.0,0.0
eqn_0.1_3_1.txt,-1.4034572815189685,7.033544923408794,-8.952697591518385,-0.0002052575338407081,1.0,0.0
eqn_0.1_3_2.txt,-1.4034572815188673,7.033544923408303,-8.952697591517405,-0.00020525753384159628,1.0,0.0
eqn_0.2_0_0.txt,-1.9787709643225242,0.0,0.0,-0.001448586472116927,1.0,0.0
eqn_0.2_0_1.txt,-1.0761201674361152,4.792060908917992,-5.254428912132327,-0.0007576899854631058,1.0,0.0
eqn_0.2_0_2.txt,-1.9787709643225242,0.0,0.0,-0.001448586472116927,1.0,0.0
eqn_0.2_1_0.txt,-1.9787709643225242,0.0,0.0,-0.001448586472116927,1.0,0.0
eqn_0.2_1_1.txt,-1.0761201674362249,4.792060908918412,-5.254428912133044,-0.0007576899854644381,1.0,0.0
eqn_0.2_1_2.txt,-1.9787709643225242,0.0,0.0,-0.001448586472116927,1.0,0.0
eqn_0.2_2_0.txt,-0.6801748589632703,9.187485931439953,0.0,-0.0004723500818988313,1.0,9.201079527117063
eqn_0.2_2_1.txt,0.0,2.576661921438686,0.0,0.00024587179752888293,1.0,0.0
eqn_0.2_2_2.txt,-0.680174858963201,9.187485931439893,0.0,-0.00047235008189794314,1.0,9.201079527116978
eqn_0.2_3_0.txt,-0.6801748589632686,9.187485931440072,0.0,-0.00047235008190149586,1.0,9.201079527117193
eqn_0.2_3_1.txt,0.0,0.0,0.0,0.0,1.0,0.0
eqn_0.2_3_2.txt,0.7074340138515947,28.559751473019194,30.437008302905028,0.0004947226946061534,1.0,56.50453968563923
eqn_0.3_0_0.txt,-0.6989615816254493,1.0984178026141056,0.0,-0.0005848485750996613,1.0,0.0
eqn_0.3_0_1.txt,0.0,2.1755470407147763,0.0,0.00033207573423069575,1.0,0.0
eqn_0.3_0_2.txt,0.0,2.1755470407147763,0.0,0.00033207573423069575,1.0,0.0
eqn_0.3_1_0.txt,0.0,2.1755470407147763,0.0,0.00033207573423069575,1.0,0.0
eqn_0.3_1_1.txt,-0.6989615816254493,1.0984178026141056,0.0,-0.0005848485750996613,1.0,0.0
eqn_0.3_1_2.txt,0.0,2.1755470407147763,0.0,0.00033207573423069575,1.0,0.0
eqn_0.3_2_0.txt,0.0,2.1755470407147763,0.0,0.00033207573423069575,1.0,0.0
eqn_0.3_2_1.txt,0.0,2.1755470407147763,0.0,0.00033207573423069575,1.0,0.0
eqn_0.3_2_2.txt,0.0,2.1755470407147763,0.0,0.00033207573423069575,1.0,0.0
eqn_0.3_3_0.txt,-0.6989615816254493,1.0984178026141056,0.0,-0.0005848485750996613,1.0,0.0
eqn_0.3_3_1.txt,-0.6989615816254493,1.0984178026141056,0.0,-0.0005848485750996613,1.0,0.0
eqn_0.3_3_2.txt,-0.6989615816254362,1.0984178026141231,0.0,-0.0005848485750995502,1.0,0.0
eqn_0.4_0_0.txt,-1.0935816317932423,0.0,0.0,-0.00175444244982951,1.0,0.0
eqn_0.4_0_1.txt,-1.0935816317932423,0.0,0.0,-0.00175444244982951,1.0,0.0
eqn_0.4_0_2.txt,-1.0935816317932423,0.0,0.0,-0.00175444244982951,1.0,0.0
eqn_0.4_1_0.txt,-1.0935816317932423,0.0,0.0,-0.00175444244982951,1.0,0.0
eqn_0.4_1_1.txt,-1.0935816317932423,0.0,0.0,-0.00175444244982951,1.0,0.0
eqn_0.4_1_2.txt,-1.0935816317932423,0.0,0.0,-0.00175444244982951,1.0,0.0
eqn_0.4_2_0.txt,-1.0935816317932423,0.0,0.0,-0.00175444244982951,1.0,0.0
eqn_0.4_2_1.txt,-1.0935816317932423,0.0,0.0,-0.00175444244982951,1.0,0.0
eqn_0.4_2_2.txt,-1.0935816317932423,0.0,0.0,-0.00175444244982951,1.0,0.0
