,I,I^4,I^2,C,dI/dy,I^3,d^2I/dy^2
eqn_0.1_0_0.txt,-1.403457281518934,-8.952697591517454,7.0335449234082486,-0.0002052575338620244,1.0,0.0,0.0
eqn_0.1_0_1.txt,-1.4034572815185142,-8.952697591517053,7.0335449234085115,-0.0002052575338411522,1.0,0.0,0.0
eqn_0.1_0_2.txt,0.0,0.0,3.4867188739158803,0.00016056659932285285,1.0,0.0,0.0
eqn_0.1_1_0.txt,-1.4034572815189685,-8.952697591518385,7.033544923408794,-0.0002052575338407081,1.0,0.0,0.0
eqn_0.1_1_1.txt,-0.08682502033301454,13.317748182139136,21.515372136207905,8.531248621324039e-06,1.0,34.28547845155671,0.0
eqn_0.1_1_2.txt,-1.4034572815189685,-8.952697591518385,7.033544923408794,-0.0002052575338407081,1.0,0.0,0.0
eqn_0.1_2_0.txt,-1.4034572815189685,-8.952697591518385,7.033544923408794,-0.0002052575338407081,1.0,0.0,0.0
eqn_0.1_2_1.txt,-1.4034572815189377,-8.95269759151764,7.03354492340838,-0.0002052575338421514,1.0,0.0,0.0
eqn_0.1_2_2.txt,-1.4034572815188673,-8.952697591517405,7.033544923408303,-0.00020525753384159628,1.0,0.0,0.0
eqn_0.1_3_0.txt,-1.4034572815189685,-8.952697591518385,7.033544923408794,-0.0002052575338407081,1.0,0.0,0.0
eqn_0.1_3_1.txt,-1.4034572815189685,-8.952697591518385,7.033544923408794,-0.0002052575338407081,1.0,0.0,0.0
eqn_0.1_3_2.txt,0.0,0.0,3.4867188739158803,0.00016056659932285285,1.0,0.0,0.0
eqn_0.1_4_0.txt,0.0,0.0,3.4867188739158803,0.00016056659932285285,1.0,0.0,0.0
eqn_0.1_4_1.txt,0.0,0.0,3.4867188739158803,0.00016056659932285285,1.0,0.0,0.0
eqn_0.1_4_2.txt,-1.403457281518934,-8.952697591517454,7.0335449234082486,-0.0002052575338620244,1.0,0.0,0.0
eqn_0.1_5_0.txt,0.0,0.0,3.4867188739158803,0.00016056659932285285,1.0,0.0,0.0
eqn_0.2_0_0.txt,-1.9787709643225242,0.0,0.0,-0.001448586472116927,1.0,0.0,0.0
eqn_0.2_0_1.txt,-0.6801748589630952,0.0,9.187485931440134,-0.0004723500819017179,1.0,9.201079527116985,0.0
eqn_0.2_0_2.txt,-1.9787709643225242,0.0,0.0,-0.001448586472116927,1.0,0.0,0.0
eqn_0.2_1_0.txt,-1.9787709643225242,0.0,0.0,-0.001448586472116927,1.0,0.0,0.0
eqn_0.2_1_1.txt,-1.9787709643225242,0.0,0.0,-0.001448586472116927,1.0,0.0,0.0
eqn_0.2_1_2.txt,-1.9787709643225242,0.0,0.0,-0.001448586472116927,1.0,0.0,0.0
eqn_0.2_2_0.txt,-1.9787709643225242,0.0,0.0,-0.001448586472116927,1.0,0.0,0.0
eqn_0.2_2_1.txt,-1.9787709643225242,0.0,0.0,-0.001448586472116927,1.0,0.0,0.0
eqn_0.2_2_2.txt,-1.9787709643225242,0.0,0.0,-0.001448586472116927,1.0,0.0,0.0
eqn_0.2_3_0.txt,-1.9787709643225242,0.0,0.0,-0.001448586472116927,1.0,0.0,0.0
eqn_0.2_3_1.txt,-1.9787709643225242,0.0,0.0,-0.001448586472116927,1.0,0.0,0.0
eqn_0.2_3_2.txt,-1.9787709643225242,0.0,0.0,-0.001448586472116927,1.0,0.0,0.0
eqn_0.2_4_0.txt,-0.6801748589630893,0.0,9.187485931440557,-0.0004723500818997195,1.0,9.201079527117496,0.0
eqn_0.2_4_1.txt,-0.6801748589630952,0.0,9.187485931440134,-0.0004723500819017179,1.0,9.201079527116985,0.0
eqn_0.2_4_2.txt,-0.6801748589632703,0.0,9.187485931439953,-0.0004723500818988313,1.0,9.201079527117063,0.0
eqn_0.2_5_1.txt,0.7074340138517128,30.43700830290404,28.559751473018082,0.0004947226946008243,1.0,56.50453968563674,0.0
eqn_0.2_5_2.txt,0.7074340138515092,30.43700830290571,28.55975147301877,0.0004947226945901662,1.0,56.504539685639465,0.0
eqn_0.3_0_0.txt,-0.6989615816254493,0.0,1.0984178026141056,-0.0005848485750996613,1.0,0.0,0.0
eqn_0.3_0_1.txt,0.0,0.0,2.1755470407147763,0.00033207573423069575,1.0,0.0,0.0
eqn_0.3_0_2.txt,0.0,0.0,2.1755470407147763,0.00033207573423069575,1.0,0.0,0.0
eqn_0.3_1_0.txt,0.0,0.0,2.1755470407147763,0.00033207573423069575,1.0,0.0,0.0
eqn_0.3_1_1.txt,0.0,0.0,2.1755470407147763,0.00033207573423069575,1.0,0.0,0.0
eqn_0.3_1_2.txt,0.0,0.0,2.1755470407147763,0.00033207573423069575,1.0,0.0,0.0
eqn_0.3_2_0.txt,0.0,0.0,2.1755470407147763,0.00033207573423069575,1.0,0.0,0.0
eqn_0.3_2_1.txt,0.0,0.0,2.1755470407147763,0.00033207573423069575,1.0,0.0,0.0
eqn_0.3_2_2.txt,0.0,0.0,2.1755470407147763,0.00033207573423069575,1.0,0.0,0.0
eqn_0.3_3_0.txt,-0.6989615816254493,0.0,1.0984178026141056,-0.0005848485750996613,1.0,0.0,0.0
eqn_0.3_3_1.txt,-0.6989615816254362,0.0,1.0984178026141231,-0.0005848485750995502,1.0,0.0,0.0
eqn_0.3_3_2.txt,-0.6989615816254493,0.0,1.0984178026141056,-0.0005848485750996613,1.0,0.0,0.0
eqn_0.3_4_0.txt,-0.6989615816254493,0.0,1.0984178026141056,-0.0005848485750996613,1.0,0.0,0.0
eqn_0.3_4_1.txt,-0.6989615816254362,0.0,1.0984178026141231,-0.0005848485750995502,1.0,0.0,0.0
eqn_0.3_4_2.txt,-0.6989615816254362,0.0,1.0984178026141231,-0.0005848485750995502,1.0,0.0,0.0
eqn_0.3_5_0.txt,-0.6989615816254493,0.0,1.0984178026141056,-0.0005848485750996613,1.0,0.0,0.0
eqn_0.3_5_1.txt,-0.6989615816254493,0.0,1.0984178026141056,-0.0005848485750996613,1.0,0.0,0.0
eqn_0.3_5_2.txt,-0.6989615816254493,0.0,1.0984178026141056,-0.0005848485750996613,1.0,0.0,0.0
eqn_0.4_0_0.txt,-1.0935816317932423,0.0,0.0,-0.00175444244982951,1.0,0.0,0.0
eqn_0.4_0_1.txt,-1.0935816317932423,0.0,0.0,-0.00175444244982951,1.0,0.0,0.0
eqn_0.4_0_2.txt,-1.0935816317932423,0.0,0.0,-0.00175444244982951,1.0,0.0,0.0
eqn_0.4_1_0.txt,-1.0935816317932423,0.0,0.0,-0.00175444244982951,1.0,0.0,0.0
eqn_0.4_1_1.txt,-1.0935816317932423,0.0,0.0,-0.00175444244982951,1.0,0.0,0.0
eqn_0.4_1_2.txt,-1.0935816317932423,0.0,0.0,-0.00175444244982951,1.0,0.0,0.0
eqn_0.4_2_0.txt,-1.0935816317932423,0.0,0.0,-0.00175444244982951,1.0,0.0,0.0
eqn_0.4_2_1.txt,-1.0935816317932423,0.0,0.0,-0.00175444244982951,1.0,0.0,0.0
eqn_0.4_2_2.txt,-1.0935816317932423,0.0,0.0,-0.00175444244982951,1.0,0.0,0.0
eqn_0.4_3_0.txt,-1.0935816317932423,0.0,0.0,-0.00175444244982951,1.0,0.0,0.0
eqn_0.4_3_1.txt,-1.0935816317932423,0.0,0.0,-0.00175444244982951,1.0,0.0,0.0
eqn_0.4_3_2.txt,-1.0935816317932423,0.0,0.0,-0.00175444244982951,1.0,0.0,0.0
eqn_0.4_4_0.txt,-1.0935816317932423,0.0,0.0,-0.00175444244982951,1.0,0.0,0.0
eqn_0.4_5_0.txt,-1.0935816317932423,0.0,0.0,-0.00175444244982951,1.0,0.0,0.0
eqn_0.5_0_0.txt,-0.23335661592399892,0.0,0.5488091463438942,-0.0005069654066268137,1.0,0.0,0.0
eqn_0.5_0_1.txt,-0.2333566159239984,0.0,0.5488091463438934,-0.0005069654066267582,1.0,0.0,0.0
eqn_0.5_0_2.txt,-0.2333566159239984,0.0,0.5488091463438934,-0.0005069654066267582,1.0,0.0,0.0
eqn_0.5_1_0.txt,-0.2333566159239984,0.0,0.5488091463438934,-0.0005069654066267582,1.0,0.0,0.0
eqn_0.5_1_1.txt,-0.23335661592399892,0.0,0.5488091463438942,-0.0005069654066268137,1.0,0.0,0.0
eqn_0.5_1_2.txt,-0.2333566159239984,0.0,0.5488091463438934,-0.0005069654066267582,1.0,0.0,0.0
eqn_0.5_2_0.txt,-0.2333566159239984,0.0,0.5488091463438934,-0.0005069654066267582,1.0,0.0,0.0
