,dI/dy,I,C,I^4,d^2I/dy^2,I^2,I^3
eqn_0.5_0_1.txt,1.0,-0.2333566159239984,-0.0005069654066267582,0.0,0.0,0.5488091463438934,0.0
eqn_0.5_0_2.txt,1.0,-0.2333566159239984,-0.0005069654066267582,0.0,0.0,0.5488091463438934,0.0
eqn_0.5_1_0.txt,1.0,-0.2333566159239984,-0.0005069654066267582,0.0,0.0,0.5488091463438934,0.0
eqn_0.5_1_1.txt,1.0,-0.23335661592399892,-0.0005069654066268137,0.0,0.0,0.5488091463438942,0.0
eqn_0.5_1_2.txt,1.0,-0.23335661592399892,-0.0005069654066268137,0.0,0.0,0.5488091463438942,0.0
eqn_0.5_2_0.txt,1.0,-0.23335661592399892,-0.0005069654066268137,0.0,0.0,0.5488091463438942,0.0
eqn_0.5_2_1.txt,1.0,-0.23335661592399892,-0.0005069654066268137,0.0,0.0,0.5488091463438942,0.0
eqn_0.5_2_2.txt,1.0,-0.2333566159239984,-0.0005069654066267582,0.0,0.0,0.5488091463438934,0.0
eqn_0.5_3_0.txt,1.0,-0.23335661592399892,-0.0005069654066268137,0.0,0.0,0.5488091463438942,0.0
eqn_0.5_3_1.txt,1.0,-0.23335661592399892,-0.0005069654066268137,0.0,0.0,0.5488091463438942,0.0
eqn_0.5_3_2.txt,1.0,-0.2333566159239984,-0.0005069654066267582,0.0,0.0,0.5488091463438934,0.0
eqn_0.6_0_0.txt,1.0,0.0,0.000432897459794912,-2.8818979046861433,0.0,0.9555589346445559,-2.1524314478219586
eqn_0.6_0_1.txt,1.0,0.0,0.000432897459794912,-2.8818979046861433,0.0,0.9555589346445559,-2.1524314478219586
eqn_0.6_0_2.txt,1.0,0.0,0.0002637845468995703,-1.1809621870205624,0.0,1.529402996360179,0.0
eqn_0.6_1_0.txt,1.0,0.0,0.0002637845468995703,-1.1809621870205624,0.0,1.529402996360179,0.0
eqn_0.6_1_1.txt,1.0,-0.15902100077997794,-0.00046759386105987844,-4.4992893101629665,0.0,-0.317298490548984,-4.828302685195614
eqn_0.6_1_2.txt,1.0,0.0,0.00026378454690023645,-1.1809621870206337,0.0,1.5294029963602294,0.0
eqn_0.6_2_0.txt,1.0,-0.159021000779969,-0.0004675938610591013,-4.499289310163053,0.0,-0.3172984905490204,-4.8283026851957445
eqn_0.6_2_1.txt,1.0,-0.18670352128057047,-0.0007869191493571903,0.0,0.0,0.5079316084548289,0.0
eqn_0.6_2_2.txt,1.0,0.0,0.00043289745979468996,-2.881897904686317,0.0,0.9555589346445361,-2.1524314478221314
eqn_0.6_3_0.txt,1.0,-18.659509879434548,-0.07864621695956231,0.0,0.0,50.76366423639695,0.0
eqn_0.7_0_0.txt,1.0,0.0,0.0008233075505543521,0.0,0.0,0.7344274670199684,0.0
eqn_0.7_0_1.txt,1.0,-0.16728887188312908,-0.0006929869899963692,0.0,0.0,0.45222203225283986,0.0
eqn_0.7_0_2.txt,1.0,-0.1672888718831297,-0.0006929869899963692,0.0,0.0,0.4522220322528387,0.0
eqn_0.7_1_0.txt,1.0,-0.1672888718831297,-0.0006929869899963692,0.0,0.0,0.4522220322528387,0.0
